name,sku,status,quantity,my_price_cad,official_price_usd,official_url,image_url,source_column_1,source_column_12,source_column_2,source_title,source_price,source_plus_gst,source_sell_price,source_35_percent,source_profit,source_profit_percent,source_status,source_type,source_summary_status,source_summary_value,source_summary_count,source_summary_total,source_extra
Amuseables Pink and White Marshmallows,A6MPW,Not in stock,0,65.00,33.00,https://us.jellycat.com/amuseables-pink-and-white-marshmallows/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Pink+and+White+Marshmallows&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Pink and White Marshmallows,Jellycat Amuseables Pink and White Marshmallows,45.00,47.25,65.00,65.00,17.75,37.57%,,,,,,,
Amuseables Pink Orchid,A2OCH,Not in stock,0,20.00,55.00,https://us.jellycat.com/amuseables-pink-orchid/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Pink+Orchid&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Pink Orchid,Jellycat Amuseables Pink Orchid,,0.00,20.00,0.00,20.00,#DIV/0!,,,,,,,
Amuseables Planet Mars,A2MAR,Not in stock,0,85.00,45.00,https://us.jellycat.com/amuseables-planet-mars/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Planet+Mars&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Planet Mars,Jellycat Amuseables Planet Mars,62.00,65.10,85.00,90.00,19.90,30.57%,,,,,,,
Amuseables Rainbow,A2RB,Not in stock,0,50.00,38.00,https://us.jellycat.com/amuseables-rainbow/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Rainbow&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Rainbow,Jellycat Amuseables Rainbow,32.00,33.60,50.00,45.00,16.40,48.81%,,,,,,,
Amuseables Rainbow Birthday Cake,A1RBC,Not in stock,0,75.00,65.00,https://us.jellycat.com/amuseables-rainbow-birthday-cake/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Rainbow+Birthday+Cake&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Rainbow Birthday Cake,Jellycat Amuseables Rainbow Birthday Cake,52.00,54.60,75.00,75.00,20.40,37.36%,,,,,,,
Amuseables Ram,,Not in stock,0,45.00,,https://us.jellycat.com/search.php?search_query=Amuseables+Ram,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Ram&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Ram,Jellycat Amuseables Ram,21.80,22.89,45.00,30.00,22.11,96.59%,0-Karen,Karen-2,,,,,
Amuseables Rose Bouquet,A2BROSE,In stock,1,100.00,55.00,https://us.jellycat.com/amuseables-rose-bouquet/,https://image.floranext.com/instances/lehifloral_com/catalog/product/s/c/screenshot_2025-01-29_at_5.05.10_pm_679ac25dc7549.png.webp?h=700&w=700&r=255&g=255&b=255,Jellycat ,,Amuseables Rose Bouquet,Jellycat Amuseables Rose Bouquet,75.00,78.75,100.00,105.00,21.25,26.98%,,,,,,,
Amuseables Ruler,A6RUL,Not in stock,0,70.00,33.00,https://us.jellycat.com/amuseables-ruler/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Ruler&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Ruler,Jellycat Amuseables Ruler,46.00,48.30,70.00,60.00,21.70,44.93%,0-Karen,Karen-3,,,,,
Amuseables S'mores,A4SMR,Not in stock,0,85.00,45.00,https://us.jellycat.com/amuseables-smores/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+S%27mores&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables S'mores,Jellycat Amuseables S'mores,62.00,65.10,85.00,90.00,19.90,30.57%,,,,,,,
Amuseables Siofra Shamrock,A6SHM,Not in stock,0,65.00,30.00,https://us.jellycat.com/amuseables-siofra-shamrock/,https://tse2.mm.bing.net/th?q=Jellycat+Amuseables+Siofra+Shamrock&w=800&h=800&c=7&rs=1&p=0,Jellycat ,,Amuseables Siofra Shamrock,Jellycat Amuseables Siofra Shamrock,42.00,44.10,65.00,60.00,20.90,47.39%,,,,,,,
